iter	Passed	Remaining
400	26342	39349
401	26399	39271
402	26458	39194
403	26518	39121
404	26586	39058
405	26648	38988
406	26701	38904
407	26758	38825
408	26819	38753
409	26889	38693
410	26948	38620
411	27009	38547
412	27065	38468
413	27126	38396
414	27186	38322
415	27239	38240
416	27306	38176
417	27363	38099
418	27430	38036
419	27491	37964
420	27549	37888
421	27604	37809
422	27669	37743
423	27736	37679
424	27797	37608
425	27863	37543
426	27921	37468
427	27978	37392
428	28037	37317
429	28095	37243
430	28153	37168
431	28211	37093
432	28275	37026
433	28339	36958
434	28412	36903
435	28475	36835
436	28541	36770
437	28597	36694
438	28661	36626
439	28714	36545
440	28777	36478
441	28833	36400
442	28889	36323
443	28960	36266
444	29014	36186
445	29083	36126
446	29146	36058
447	29197	35975
448	29257	35904
449	29334	35852
450	29393	35780
451	29451	35706
452	29516	35641
453	29575	35568
454	29639	35502
455	29690	35420
456	29756	35356
457	29815	35283
458	29876	35214
459	29932	35137
460	29993	35068
461	30051	34995
462	30110	34923
463	30178	34860
464	30238	34790
465	30301	34722
466	30357	34647
467	30415	34575
468	30472	34501
469	30538	34437
470	30602	34371
471	30676	34316
472	30735	34244
473	30798	34177
474	30855	34102
475	30914	34031
476	30969	33956
477	31042	33899
478	31106	33834
479	31164	33761
480	31226	33693
481	31291	33628
482	31348	33555
483	31407	33483
484	31473	33420
485	31533	33350
486	31596	33283
487	31654	33211
488	31718	33145
489	31783	33081
490	31846	33013
491	31916	32954
492	31985	32893
493	32059	32838
494	32121	32770
495	32178	32698
496	32240	32630
497	32308	32567
498	32365	32494
499	32433	32433
500	32495	32365
501	32551	32292
502	32606	32217
503	32664	32146
504	32727	32079
505	32800	32022
506	32860	31952
507	32915	31878
508	32972	31806
509	33033	31737
510	33103	31678
511	33162	31608
512	33233	31549
513	33297	31483
514	33356	31413
515	33417	31345
516	33471	31270
517	33534	31204
518	33591	31131
519	33661	31072
520	33728	31009
521	33783	30936
522	33840	30864
523	33903	30797
524	33964	30730
525	34023	30660
526	34085	30592
527	34162	30538
528	34218	30466
529	34279	30398
530	34339	30330
531	34394	30257
532	34455	30189
533	34527	30130
534	34587	30061
535	34644	29990
536	34704	29922
537	34771	29859
538	34832	29791
539	34901	29731
540	34962	29663
541	35045	29614
542	35109	29548
543	35183	29492
544	35241	29421
545	35297	29350
546	35360	29283
547	35415	29211
548	35478	29145
549	35559	29094
550	35625	29030
551	35684	28961
552	35741	28890
553	35806	28826
554	35873	28763
555	35931	28693
556	35990	28624
557	36047	28553
558	36120	28495
559	36176	28424
560	36246	28363
561	36305	28295
562	36375	28234
563	36428	28160
564	36487	28092
565	36543	28021
566	36621	27966
567	36674	27893
568	36726	27819
569	36787	27751
570	36852	27687
571	36913	27620
572	36969	27549
573	37034	27485
574	37104	27425
575	37165	27357
576	37228	27292
577	37288	27224
578	37346	27154
579	37405	27086
580	37467	27020
581	37525	26951
582	37584	26883
583	37645	26816
584	37707	26750
585	37768	26682
586	37824	26612
587	37879	26541
588	37950	26481
589	38024	26424
590	38087	26358
591	38148	26291
592	38204	26221
593	38267	26155
594	38331	26091
595	38393	26024
596	38453	25957
597	38517	25892
598	38617	25852
599	38677	25785
600	38741	25720
601	38811	25659
602	38888	25603
603	38943	25532
604	39021	25476
605	39076	25406
606	39133	25336
607	39191	25267
608	39256	25204
609	39307	25131
610	39366	25063
611	39425	24995
612	39483	24926
613	39545	24860
614	39611	24797
615	39678	24734
616	39751	24675
617	39833	24622
618	39890	24552
619	39945	24482
620	40001	24412
621	40083	24359
622	40147	24294
623	40231	24242
624	40291	24175
625	40354	24109
626	40416	24043
627	40487	23982
628	40556	23921
629	40624	23859
630	40704	23803
631	40760	23734
632	40819	23666
633	40889	23605
634	40950	23538
635	41010	23471
636	41079	23409
637	41137	23341
638	41199	23275
639	41253	23204
640	41319	23141
641	41378	23074
642	41434	23004
643	41493	22937
644	41552	22870
645	41607	22800
646	41664	22731
647	41729	22667
648	41791	22602
649	41853	22536
650	41908	22467
651	41962	22397
652	42024	22331
653	42082	22263
654	42150	22201
655	42209	22134
656	42287	22076
657	42350	22011
658	42407	21943
659	42463	21875
660	42523	21808
661	42580	21740
662	42646	21676
663	42707	21610
664	42761	21541
665	42822	21475
666	42881	21408
667	42948	21345
668	43003	21276
669	43061	21209
670	43114	21139
671	43178	21075
672	43238	21009
673	43299	20943
674	43367	20880
675	43425	20813
676	43485	20747
677	43542	20679
678	43603	20613
679	43665	20548
680	43724	20481
681	43793	20420
682	43873	20362
683	43936	20297
684	43995	20231
685	44058	20166
686	44121	20102
687	44184	20037
688	44246	19971
689	44305	19905
690	44365	19839
691	44433	19776
692	44490	19709
693	44554	19645
694	44616	19579
695	44682	19516
696	44741	19450
697	44812	19388
698	44885	19328
699	44940	19260
700	45005	19196
701	45074	19133
702	45153	19076
703	45211	19009
704	45276	18945
705	45339	18880
706	45404	18816
707	45460	18749
708	45533	18688
709	45618	18633
710	45678	18566
711	45738	18500
712	45794	18433
713	45852	18366
714	45916	18302
715	45991	18242
716	46049	18175
717	46111	18110
718	46171	18044
719	46218	17973
720	46258	17900
721	46312	17832
722	46379	17769
723	46437	17702
724	46489	17633
725	46559	17571
726	46609	17502
727	46669	17436
728	46723	17369
729	46791	17306
730	46866	17246
731	46930	17182
732	46992	17117
733	47048	17050
734	47108	16984
735	47165	16918
736	47234	16855
737	47300	16792
738	47373	16731
739	47429	16664
740	47492	16600
741	47549	16533
742	47613	16469
743	47667	16401
744	47725	16335
745	47784	16269
746	47845	16204
747	47903	16138
748	47962	16072
749	48028	16009
750	48089	15944
751	48150	15879
752	48206	15812
753	48270	15748
754	48336	15685
755	48396	15619
756	48466	15557
757	48534	15495
758	48597	15430
759	48666	15368
760	48734	15305
761	48792	15239
762	48857	15175
763	48923	15112
764	48980	15046
765	49041	14981
766	49109	14918
767	49171	14853
768	49232	14788
769	49298	14725
770	49359	14660
771	49421	14596
772	49479	14530
773	49535	14463
774	49601	14400
775	49673	14338
776	49742	14276
777	49796	14209
778	49858	14144
779	49916	14079
780	49971	14012
781	50034	13948
782	50098	13884
783	50161	13819
784	50217	13753
785	50272	13687
786	50329	13621
787	50386	13555
788	50448	13491
789	50513	13427
790	50575	13363
791	50642	13300
792	50706	13236
793	50768	13171
794	50831	13107
795	50888	13041
796	50970	12982
797	51026	12916
798	51091	12852
799	51153	12788
800	51217	12724
801	51282	12660
802	51355	12599
803	51421	12535
804	51483	12471
805	51557	12409
806	51614	12343
807	51673	12278
808	51731	12213
809	51791	12148
810	51852	12083
811	51922	12021
812	51991	11958
813	52058	11895
814	52138	11835
815	52203	11771
816	52261	11706
817	52324	11641
818	52385	11577
819	52454	11514
820	52513	11449
821	52585	11387
822	52649	11323
823	52708	11258
824	52770	11193
825	52845	11132
826	52902	11066
827	52966	11002
828	53018	10936
829	53101	10876
830	53166	10812
831	53235	10749
832	53299	10685
833	53362	10621
834	53424	10556
835	53485	10492
836	53542	10427
837	53609	10363
838	53672	10299
839	53734	10235
840	53792	10170
841	53846	10104
842	53908	10039
843	53973	9976
844	54032	9911
845	54093	9846
846	54150	9781
847	54204	9715
848	54266	9651
849	54325	9586
850	54395	9524
851	54451	9458
852	54517	9395
853	54575	9330
854	54629	9264
855	54688	9199
856	54756	9136
857	54815	9072
858	54870	9006
859	54933	8942
860	54990	8877
861	55054	8813
862	55111	8748
863	55179	8685
864	55239	8621
865	55293	8555
866	55350	8490
867	55409	8426
868	55468	8361
869	55532	8298
870	55601	8234
871	55690	8174
872	55760	8111
873	55818	8047
874	55884	7983
875	55940	7918
876	55992	7853
877	56055	7788
878	56139	7728
879	56191	7662
880	56262	7599
881	56323	7535
882	56378	7470
883	56436	7405
884	56525	7345
885	56586	7280
886	56662	7218
887	56722	7154
888	56779	7089
889	56839	7025
890	56903	6961
891	56974	6898
892	57033	6833
893	57090	6769
894	57152	6705
895	57214	6641
896	57278	6577
897	57349	6514
898	57405	6449
899	57478	6386
900	57545	6322
901	57605	6258
902	57668	6194
903	57738	6131
904	57794	6066
905	57863	6003
906	57915	5938
907	57971	5873
908	58031	5809
909	58093	5745
910	58164	5682
911	58233	5618
912	58290	5554
913	58347	5490
914	58404	5425
915	58470	5361
916	58534	5298
917	58596	5234
918	58657	5170
919	58721	5106
920	58778	5041
921	58841	4977
922	58906	4914
923	58972	4850
924	59033	4786
925	59095	4722
926	59147	4657
927	59206	4593
928	59261	4529
929	59319	4464
930	59390	4401
931	59470	4339
932	59528	4274
933	59605	4211
934	59666	4147
935	59718	4083
936	59784	4019
937	59868	3957
938	59921	3892
939	59995	3829
940	60051	3765
941	60107	3700
942	60175	3637
943	60242	3573
944	60305	3509
945	60395	3447
946	60455	3383
947	60513	3319
948	60579	3255
949	60632	3191
950	60688	3126
951	60755	3063
952	60842	3000
953	60897	2936
954	60967	2872
955	61025	2808
956	61087	2744
957	61147	2680
958	61221	2617
959	61279	2553
960	61335	2489
961	61425	2426
962	61481	2362
963	61540	2298
964	61605	2234
965	61674	2170
966	61738	2106
967	61801	2043
968	61854	1978
969	61919	1915
970	61978	1851
971	62032	1786
972	62092	1723
973	62172	1659
974	62232	1595
975	62289	1531
976	62350	1467
977	62429	1404
978	62483	1340
979	62547	1276
980	62601	1212
981	62669	1148
982	62719	1084
983	62798	1021
984	62856	957
985	62915	893
986	62967	829
987	63040	765
988	63108	701
989	63163	638
990	63221	574
991	63281	510
992	63340	446
993	63406	382
994	63469	318
995	63547	255
996	63606	191
997	63677	127
998	63736	63
999	63794	0
