iter	RMSE
627	192379.2186
628	192328.6786
629	192301.0772
630	192271.2854
631	192245.4008
632	192205.6288
633	192169.3098
634	192141.5494
635	192107.5579
636	192095.1769
637	192060.3561
638	192031.3992
639	192008.6504
640	191983.3472
641	191961.4159
642	191919.8354
643	191907.1768
644	191868.9379
645	191835.603
646	191804.283
647	191771.3175
648	191732.311
649	191695.498
650	191666.3873
651	191641.7024
652	191599.4683
653	191578.7213
654	191543.8343
655	191502.7796
656	191487.3071
657	191455.4931
658	191427.1416
659	191405.0051
660	191396.2872
661	191351.6239
662	191300.0499
663	191268.8476
664	191249.7019
665	191222.0316
666	191196.5793
667	191158.6835
668	191124.8031
669	191096.5066
670	191074.3114
671	191020.3426
672	190995.392
673	190965.0065
674	190938.916
675	190901.7941
676	190876.0304
677	190852.89
678	190825.6511
679	190770.4385
680	190740.582
681	190698.5606
682	190673.1215
683	190631.8037
684	190606.7585
685	190561.7876
686	190511.0194
687	190489.9463
688	190464.8703
689	190431.6127
690	190399.7113
691	190360.5767
692	190331.4073
693	190287.5068
694	190237.5796
695	190194.0529
696	190155.61
697	190119.8213
698	190096.8349
699	190078.9325
700	190038.9293
701	190010.2396
702	189981.3729
703	189958.8623
704	189934.9457
705	189885.8672
706	189841.7184
707	189822.8623
708	189790.04
709	189763.7885
710	189735.1681
711	189712.3957
712	189687.1784
713	189665.5055
714	189622.3056
715	189599.5291
716	189573.5619
717	189544.1494
718	189499.2816
719	189495.296
720	189493.8708
721	189482.4482
722	189474.3685
723	189454.5482
724	189445.4305
725	189400.0378
726	189391.1641
727	189357.4599
728	189338.952
729	189304.8412
730	189280.9522
731	189243.5616
732	189203.2929
733	189174.5299
734	189144.2233
735	189120.1709
736	189075.0268
737	189043.8866
738	189011.3874
739	188982.6266
740	188955.5605
741	188930.6333
742	188909.238
743	188889.0352
744	188879.0046
745	188863.9148
746	188832.8009
747	188811.0096
748	188775.1806
749	188754.4666
750	188739.6156
751	188699.2927
752	188681.3451
753	188661.2712
754	188616.5691
755	188600.5086
756	188577.2319
757	188552.8712
758	188527.6983
759	188495.5204
760	188453.3357
761	188429.1911
762	188392.7208
763	188352.4031
764	188333.6841
765	188303.077
766	188269.9786
767	188234.9037
768	188200.0938
769	188169.1422
770	188141.3704
771	188112.095
772	188091.3868
773	188068.8862
774	188035.6167
775	187990.5423
776	187966.0962
777	187943.9136
778	187918.106
779	187890.2525
780	187869.1448
781	187840.4181
782	187821.7976
783	187801.9814
784	187781.976
785	187771.2978
786	187728.5092
787	187710.2078
788	187686.4271
789	187655.6246
790	187624.8716
791	187595.8697
792	187575.4482
793	187533.2781
794	187511.7418
795	187485.4267
796	187451.9549
797	187426.9959
798	187394.2127
799	187369.7728
800	187344.7251
801	187295.939
802	187265.9295
803	187253.4794
804	187229.4879
805	187191.5686
806	187164.6345
807	187140.8659
808	187112.5944
809	187106.8553
810	187065.3807
811	187039.4171
812	187002.5294
813	186971.3953
814	186949.0394
815	186926.4349
816	186902.5232
817	186866.6187
818	186850.6699
819	186824.1699
820	186801.9045
821	186776.2905
822	186758.3191
823	186734.3403
824	186701.4314
825	186670.7763
826	186655.6396
827	186623.9689
828	186609.7996
829	186592.7907
830	186562.0792
831	186529.7776
832	186490.3686
833	186466.1151
834	186428.4572
835	186406.1581
836	186391.7137
837	186353.0363
838	186316.6542
839	186292.3973
840	186276.0939
841	186248.2609
842	186226.6176
843	186199.5344
844	186182.7264
845	186155.1881
846	186141.4244
847	186132.7606
848	186104.2857
849	186077.6974
850	186045.1435
851	186022.2641
852	185999.8584
853	185979.3918
854	185959.0205
855	185933.3085
856	185906.9326
857	185890.2626
858	185877.0289
859	185850.0603
860	185829.3635
861	185783.6312
862	185764.0541
863	185733.6932
864	185713.5386
865	185697.7866
866	185683.742
867	185656.2423
868	185631.0889
869	185593.641
870	185578.5632
871	185541.1947
872	185498.3821
873	185479.4766
874	185440.6525
875	185423.3232
876	185411.9174
877	185392.2768
878	185370.7543
879	185361.1527
880	185325.9768
881	185291.5334
882	185272.4047
883	185243.7496
884	185219.344
885	185188.6434
886	185162.5493
887	185141.6323
888	185122.9729
889	185098.6296
890	185076.7608
891	185037.9376
892	185017.7554
893	185005.1404
894	184983.5369
895	184946.0169
896	184915.8601
897	184888.2747
898	184867.8908
899	184849.4875
900	184829.3266
901	184811.301
902	184778.0151
903	184759.8255
904	184739.9845
905	184727.7705
906	184712.6597
907	184687.3147
908	184664.6452
909	184641.1781
910	184610.814
911	184578.3304
912	184560.2772
913	184539.4927
914	184518.4426
915	184493.3828
916	184473.5162
917	184455.4997
918	184436.5376
919	184405.4565
920	184385.0148
921	184359.601
922	184320.6047
923	184292.0667
924	184266.4039
925	184253.8487
926	184236.3029
927	184209.5821
928	184186.1172
929	184162.1861
930	184144.1398
931	184120.0141
932	184096.7088
933	184076.5556
934	184046.3511
935	184022.1638
936	183989.202
937	183957.4042
938	183944.0975
939	183921.4581
940	183905.2756
941	183889.9178
942	183853.9378
943	183834.1619
944	183809.4767
945	183782.014
946	183761.223
947	183745.3772
948	183720.9719
949	183709.5166
950	183684.8099
951	183661.2944
952	183629.7417
953	183607.8031
954	183581.5261
955	183556.9367
956	183526.0046
957	183505.409
958	183479.3983
959	183463.8211
960	183445.8853
961	183418.2016
962	183404.6936
963	183372.9592
964	183338.6267
965	183303.4286
966	183284.5867
967	183276.6318
968	183253.6419
969	183228.7295
970	183210.6559
971	183194.462
972	183166.5854
973	183136.0374
974	183114.7388
975	183098.0887
976	183074.56
977	183060.0929
978	183041.3636
979	182997.0417
980	182985.3372
981	182968.9497
982	182960.7892
983	182935.5381
984	182918.8372
985	182896.6178
986	182880.0695
987	182855.7524
988	182824.3223
989	182808.2201
990	182789.0654
991	182767.5347
992	182750.633
993	182720.7656
994	182709.0939
995	182682.1791
996	182663.7861
997	182653.5406
998	182637.3141
999	182620.7869
