iter	Logloss
0	0.60181098
1	0.5020758671
2	0.4472436173
3	0.4028707754
4	0.3674776497
5	0.3397880352
6	0.3121198799
7	0.2917488603
8	0.2749031989
9	0.2575190221
10	0.2473699178
11	0.2377538769
12	0.2279312864
13	0.2212510722
14	0.2100358997
15	0.202573085
16	0.1942297655
17	0.1877932453
18	0.1832382883
19	0.1797366946
20	0.1766266078
21	0.1724831133
22	0.1681070522
23	0.1659675613
24	0.1636306343
25	0.1615297303
26	0.159123387
27	0.1572187358
28	0.1557163733
29	0.1541991983
30	0.1527117595
31	0.1511748449
32	0.1495155681
33	0.1482198562
34	0.1447922746
35	0.1437619047
36	0.1428311816
37	0.1418336843
38	0.1405886127
39	0.1393057928
40	0.1385383742
41	0.1375508063
42	0.1359834216
43	0.1347067589
44	0.1327071316
45	0.1316581476
46	0.1304423436
47	0.129983168
48	0.1295420847
49	0.1290790006
50	0.1285285
51	0.1280242872
52	0.1272416819
53	0.1265524377
54	0.1258800118
55	0.1248607859
56	0.1242195458
57	0.1240464689
58	0.1227505564
59	0.1219311212
60	0.1214668845
61	0.1209626875
62	0.1204269123
63	0.1197951564
64	0.118869015
65	0.117964179
66	0.1175382637
67	0.1170936819
68	0.1167482642
69	0.1164256493
70	0.1161021635
71	0.1154265114
72	0.1143860742
73	0.1141025471
74	0.113852407
75	0.1134941771
76	0.1132629575
77	0.1129336882
78	0.1123690119
79	0.1120446516
80	0.1117097706
81	0.1108359659
82	0.1102778765
83	0.1099572731
84	0.1098577121
85	0.1092686013
86	0.1090127545
87	0.1087984406
88	0.1081519843
89	0.1079691994
90	0.107751359
91	0.1075283344
92	0.107140527
93	0.1070245965
94	0.1068192174
95	0.1064461342
96	0.1059301908
97	0.1056715814
98	0.1054189826
99	0.1051351252
100	0.1047667621
101	0.1044767928
102	0.1041726821
103	0.1039213558
104	0.1034242373
105	0.1032077164
106	0.1030340645
107	0.1025610076
108	0.1022939607
109	0.1021189974
110	0.1017957818
111	0.101585538
112	0.1011750892
113	0.1008759692
114	0.1006960002
115	0.1005648777
116	0.1003043436
117	0.1000929253
118	0.09991722955
119	0.09958887091
120	0.09921671285
121	0.09913569044
122	0.09904908453
123	0.09889763098
124	0.0987814089
125	0.0982177148
126	0.097995887
127	0.09754568961
128	0.09739651776
129	0.09714978476
130	0.09695993182
131	0.09681706227
132	0.09666545979
133	0.09659349911
134	0.0965290092
135	0.09632927181
136	0.09623249059
137	0.09602711297
138	0.09577162139
139	0.09565170789
140	0.09545659525
141	0.09528106667
142	0.09517539846
143	0.09507368427
144	0.09483084822
145	0.09478793818
146	0.09421555481
147	0.09409608344
148	0.09391813637
149	0.09377274227
150	0.0935927192
151	0.09354362966
152	0.09317006762
153	0.09293986427
154	0.09282622663
155	0.09263615175
156	0.09235138931
157	0.09225290454
158	0.09214412584
159	0.09201088982
160	0.09180712652
161	0.09176291572
162	0.09165625433
163	0.09153528515
164	0.09133310934
165	0.09112341963
166	0.0909359226
