iter	Passed	Remaining
398	35877	54041
399	35948	53922
400	35998	53773
401	36086	53681
402	36149	53550
403	36206	53413
404	36266	53280
405	36365	53204
406	36427	53074
407	36492	52950
408	36555	52821
409	36631	52713
410	36717	52619
411	36769	52476
412	36831	52348
413	36922	52261
414	36983	52133
415	37038	51996
416	37101	51870
417	37183	51772
418	37249	51651
419	37314	51529
420	37370	51396
421	37464	51313
422	37531	51194
423	37585	51059
424	37656	50946
425	37827	50969
426	38027	51030
427	38186	51034
428	38236	50893
429	38308	50780
430	38371	50657
431	38458	50566
432	38531	50455
433	38606	50348
434	38673	50231
435	38771	50154
436	38842	50041
437	38932	49954
438	39003	49842
439	39060	49713
440	39123	49591
441	39220	49513
442	39269	49375
443	39328	49249
444	39391	49128
445	39477	49036
446	39550	48929
447	39600	48793
448	39660	48670
449	39719	48546
450	39790	48437
451	39851	48315
452	39914	48196
453	40007	48114
454	40072	47998
455	40125	47868
456	40185	47747
457	40270	47656
458	40334	47539
459	40399	47425
460	40452	47297
461	40528	47195
462	40599	47088
463	40660	46969
464	40722	46852
465	40806	46761
466	40863	46638
467	40924	46521
468	40978	46395
469	41128	46379
470	41272	46354
471	41403	46315
472	41499	46237
473	41602	46166
474	41769	46166
475	41870	46092
476	41942	45987
477	42055	45926
478	42170	45868
479	42241	45761
480	42369	45716
481	42445	45615
482	42518	45511
483	42583	45398
484	42681	45321
485	42751	45214
486	42822	45108
487	42916	45027
488	42974	44907
489	43069	44827
490	43137	44719
491	43193	44597
492	43251	44479
493	43335	44388
494	43391	44268
495	43459	44160
496	43513	44039
497	43591	43941
498	43653	43828
499	43719	43719
500	43771	43597
501	43876	43527
502	43932	43408
503	43991	43293
504	44048	43176
505	44123	43076
506	44182	42962
507	44245	42851
508	44304	42737
509	44385	42644
510	44442	42528
511	44507	42420
512	44558	42300
513	44639	42208
514	44714	42109
515	44763	41987
516	44826	41878
517	44934	41811
518	44996	41702
519	45063	41596
520	45125	41487
521	45188	41379
522	45274	41292
523	45344	41190
524	45414	41089
525	45498	41000
526	45565	40896
527	45628	40789
528	45727	40713
529	45791	40607
530	45854	40500
531	45941	40414
532	46013	40315
533	46083	40215
534	46165	40125
535	46232	40022
536	46314	39932
537	46400	39845
538	46460	39736
539	46523	39631
540	46613	39548
541	46676	39442
542	46754	39349
543	46837	39260
544	46894	39150
545	46972	39057
546	47059	38972
547	47142	38884
548	47235	38803
549	47298	38698
550	47362	38594
551	47423	38488
552	47509	38402
553	47574	38300
554	47627	38188
555	47680	38076
556	47746	37974
557	47836	37892
558	47895	37785
559	47971	37691
560	48051	37601
561	48103	37489
562	48167	37387
563	48391	37408
564	48562	37388
565	48637	37294
566	48762	37238
567	48831	37139
568	48917	37053
569	48977	36947
570	49043	36846
571	49105	36743
572	49203	36666
573	49270	36566
574	49327	36459
575	49392	36358
576	49476	36271
577	49555	36180
578	49619	36079
579	49690	35982
580	49783	35902
581	49842	35797
582	49949	35727
583	50018	35629
584	50091	35535
585	50149	35429
586	50248	35353
587	50323	35260
588	50390	35162
589	50464	35068
590	50561	34990
591	50630	34894
592	50697	34795
593	50786	34712
594	50852	34613
595	50953	34539
596	51020	34440
597	51089	34344
598	51152	34243
599	51243	34162
600	51314	34067
601	51378	33967
602	51431	33861
603	51529	33784
604	51583	33678
605	51638	33573
606	51694	33469
607	51787	33389
608	51841	33283
609	51907	33187
610	51960	33081
611	52044	32995
612	52111	32899
